# name<TAB>version<TAB>platforms<TAB>declared-license<TAB>source<TAB>repository
# Generated from the locked quirl-cli normal/build closure for all supported release targets.
crossbeam-epoch	0.9.20	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/crossbeam-rs/crossbeam
crossbeam-utils	0.8.22	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/crossbeam-rs/crossbeam
crossterm	0.29.0	linux,macos	MIT	vendored+vendor/crossterm	https://github.com/crossterm-rs/crossterm
crypto-common	0.1.7	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/RustCrypto/traits
darling	0.20.11	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/TedDriggs/darling
darling	0.24.0	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/TedDriggs/darling
darling_core	0.20.11	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/TedDriggs/darling
darling_core	0.24.0	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/TedDriggs/darling
darling_macro	0.20.11	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/TedDriggs/darling
darling_macro	0.24.0	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/TedDriggs/darling
dary_heap	0.3.9	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/hanmertens/dary_heap
derive_builder	0.20.2	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/colin-kiegel/rust-derive-builder
derive_builder_core	0.20.2	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/colin-kiegel/rust-derive-builder
derive_builder_macro	0.20.2	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/colin-kiegel/rust-derive-builder
derive_more	2.1.1	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/JelteF/derive_more
derive_more-impl	2.1.1	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/JelteF/derive_more
digest	0.10.7	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/RustCrypto/traits
document-features	0.2.12	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/slint-ui/document-features
downcast-rs	1.2.1	linux,macos	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/marcianx/downcast-rs
either	1.17.0	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rayon-rs/either
equivalent	1.0.2	linux,macos	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/indexmap-rs/equivalent
erased-serde	0.4.10	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/dtolnay/erased-serde
errno	0.3.14	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/lambda-fairy/rust-errno
esaxx-rs	0.1.10	linux,macos	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/Narsil/esaxx-rs
fallible-iterator	0.3.0	linux,macos	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/sfackler/rust-fallible-iterator
fallible-streaming-iterator	0.1.9	linux,macos	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/sfackler/fallible-streaming-iterator
fd-lock	4.0.4	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/yoshuawuyts/fd-lock
fdeflate	0.3.7	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/image-rs/fdeflate
filedescriptor	0.8.3	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/wezterm/wezterm
find-msvc-tools	0.1.11	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-lang/cc-rs
flate2	1.1.10	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-lang/flate2-rs
fnv	1.0.7	linux,macos	Apache-2.0 / MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/servo/rust-fnv
foldhash	0.2.0	linux,macos	Zlib	registry+https://github.com/rust-lang/crates.io-index	https://github.com/orlp/foldhash
generic-array	0.14.7	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/fizyk20/generic-array.git
getrandom	0.2.17	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-random/getrandom
getrandom	0.3.4	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-random/getrandom
gif	0.14.2	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/image-rs/image-gif
half	2.7.1	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/VoidStarKat/half-rs
hashbrown	0.16.1	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-lang/hashbrown
hashbrown	0.17.1	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-lang/hashbrown
hashlink	0.12.1	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/djc/hashlink
heck	0.5.0	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/withoutboats/heck
http	1.5.0	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/hyperium/http
httparse	1.10.1	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/seanmonstar/httparse
iana-time-zone	0.1.65	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/strawlab/iana-time-zone
ident_case	1.0.1	linux,macos	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/TedDriggs/ident_case
image	0.25.10	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/image-rs/image
image-webp	0.2.4	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/image-rs/image-webp
indexmap	2.14.0	linux,macos	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/indexmap-rs/indexmap
indicatif	0.17.11	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/console-rs/indicatif
indoc	2.0.7	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/dtolnay/indoc
instability	0.3.13	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/ratatui/instability
is_terminal_polyfill	1.70.2	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/polyfill-rs/is_terminal_polyfill
itertools	0.13.0	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-itertools/itertools
itertools	0.14.0	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-itertools/itertools
itoa	1.0.18	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/dtolnay/itoa
kasuari	0.4.12	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/ratatui/kasuari
kdl	6.7.1	linux,macos	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/kdl-org/kdl-rs
keybindings	0.0.2	linux,macos	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/ulyssa/modalkit
libc	0.2.189	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-lang/libc
libsqlite3-sys	0.38.2	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rusqlite/rusqlite
line-clipping	0.3.8	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/ratatui/line-clipping
linux-raw-sys	0.12.1	linux	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/sunfishcode/linux-raw-sys
litrs	1.0.0	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/LukasKalbertodt/litrs
lock_api	0.4.14	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/Amanieu/parking_lot
log	0.4.33	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-lang/log
lru	0.18.2	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/jeromefroe/lru-rs.git
lua-src	551.0.0	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/mlua-rs/lua-src-rs
luajit-src	210.7.2+b925b3e	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/mlua-rs/luajit-src-rs
macro_rules_attribute	0.2.3	linux,macos	Apache-2.0 OR MIT OR Zlib	registry+https://github.com/rust-lang/crates.io-index	https://github.com/danielhenrymantilla/macro_rules_attribute-rs
macro_rules_attribute-proc_macro	0.2.3	linux,macos	Apache-2.0 OR MIT OR Zlib	registry+https://github.com/rust-lang/crates.io-index	https://github.com/danielhenrymantilla/macro_rules_attribute-rs
matrixmultiply	0.3.11	linux,macos	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/bluss/matrixmultiply/
memchr	2.8.3	linux,macos	Unlicense OR MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/BurntSushi/memchr
miette	7.6.0	linux,macos	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/zkat/miette
minimal-lexical	0.2.1	linux,macos	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/Alexhuszagh/minimal-lexical
miniz_oxide	0.8.9	linux,macos	MIT OR Zlib OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/Frommi/miniz_oxide/tree/master/miniz_oxide
miniz_oxide	0.9.1	linux,macos	MIT OR Zlib OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/Frommi/miniz_oxide/tree/master/miniz_oxide
mio	1.2.2	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/tokio-rs/mio
mlua	0.12.0	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/mlua-rs/mlua
mlua-sys	0.11.0	linux,macos	MIT	vendored+vendor/mlua-sys	https://github.com/mlua-rs/mlua
model2vec-rs	0.2.1	linux,macos	LicenseRef-file:LICENSE	vendored+vendor/model2vec-rs	https://github.com/MinishLab/model2vec-rs
monostate	0.1.18	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/dtolnay/monostate
monostate-impl	0.1.18	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/dtolnay/monostate
moxcms	0.8.1	linux,macos	BSD-3-Clause OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/awxkee/moxcms.git
ndarray	0.15.6	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-ndarray/ndarray
nix	0.28.0	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/nix-rust/nix
nix	0.30.1	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/nix-rust/nix
nom	7.1.3	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/Geal/nom
nu-ansi-term	0.50.3	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/nushell/nu-ansi-term
num-complex	0.4.6	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-num/num-complex
num-integer	0.1.47	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-num/num-integer
num-traits	0.2.19	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-num/num-traits
number_prefix	0.4.0	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/ogham/rust-number-prefix
once_cell	1.21.4	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/matklad/once_cell
onig	6.5.3	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/iwillspeak/rust-onig
onig_sys	69.9.3	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-onig/rust-onig
ordered-float	2.10.1	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/reem/rust-ordered-float
os_pipe	1.2.3	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/oconnor663/os_pipe.rs
parking_lot	0.12.5	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/Amanieu/parking_lot
